Date,Close
6/16/2017,3.55
6/19/2017,3.62
6/20/2017,3.61
6/21/2017,3.63
6/22/2017,3.61
6/23/2017,3.71
6/26/2017,3.72
6/27/2017,3.73
6/28/2017,3.84
6/29/2017,3.83
6/30/2017,3.87
7/03/2017,3.75
7/05/2017,3.81
7/06/2017,3.87
7/07/2017,3.84
7/10/2017,4.14
7/11/2017,4.13
7/12/2017,4.21
7/13/2017,4.11
7/14/2017,4.16
7/17/2017,4.11
7/18/2017,4.11
7/19/2017,4.14
7/20/2017,4.25
7/21/2017,4.18
7/24/2017,4.03
7/25/2017,4.03
7/26/2017,4.23
7/27/2017,4.02
7/28/2017,4.18
7/31/2017,4.13
8/01/2017,4.14
8/02/2017,4.05
8/03/2017,4.02
8/04/2017,3.87
8/07/2017,4.04
8/08/2017,4.03
8/09/2017,4.23
8/10/2017,4.33
8/11/2017,4.34
8/14/2017,4.36
8/15/2017,4.28
8/16/2017,4.44
8/17/2017,4.4
8/18/2017,4.42
8/21/2017,4.41
8/22/2017,4.38
8/23/2017,4.44
8/24/2017,4.4
8/25/2017,4.62
8/28/2017,4.75
8/29/2017,4.69
8/30/2017,4.62
8/31/2017,4.74
9/01/2017,4.75
9/05/2017,4.89
9/06/2017,4.84
9/07/2017,4.95
9/08/2017,4.85
9/11/2017,4.78
9/12/2017,4.84
9/13/2017,4.71
9/14/2017,4.8
9/15/2017,4.79
9/18/2017,4.58
9/19/2017,4.72
9/20/2017,4.72
9/21/2017,4.6
9/22/2017,4.72
9/25/2017,4.67
9/26/2017,4.6
9/27/2017,4.54
9/28/2017,4.55
9/29/2017,4.55
10/02/2017,4.6
10/03/2017,4.61
10/04/2017,4.66
10/05/2017,4.59
10/06/2017,4.73
10/09/2017,4.82
10/10/2017,4.72
10/11/2017,4.76
10/12/2017,4.71
10/13/2017,4.63
10/16/2017,4.5
10/17/2017,4.5
10/18/2017,4.41
10/19/2017,4.41
10/20/2017,4.4
10/23/2017,4.38
10/24/2017,4.33
10/25/2017,4.38
10/26/2017,4.25
10/27/2017,4.35
10/30/2017,4.38
10/31/2017,4.31
11/01/2017,4.25
11/02/2017,4.48
11/03/2017,4.4
11/06/2017,4.41
11/07/2017,4.41
11/08/2017,4.42
11/09/2017,4.49
11/10/2017,4.38
11/13/2017,4.38
11/14/2017,4.34
11/15/2017,4.47
11/16/2017,4.43
11/17/2017,4.53
11/20/2017,4.47
11/21/2017,4.58
11/22/2017,4.58
11/24/2017,4.53
11/27/2017,4.49
11/28/2017,4.44
11/29/2017,4.43
11/30/2017,4.36
12/01/2017,4.43
12/04/2017,4.38
12/05/2017,4.3
12/06/2017,4.35
12/07/2017,4.25
12/08/2017,4.28
12/11/2017,4.33
12/12/2017,4.34
12/13/2017,4.55
12/14/2017,4.72
12/15/2017,4.58
12/18/2017,4.65
12/19/2017,4.69
12/20/2017,4.85
12/21/2017,4.83
12/22/2017,5.04
12/26/2017,5.21
12/27/2017,5.16
12/28/2017,5.01
12/29/2017,4.99
1/02/2018,5.04
1/03/2018,4.99
1/04/2018,5.28
1/05/2018,5.24
1/08/2018,5.05
1/09/2018,5.02
1/10/2018,5.08
1/11/2018,5.06
1/12/2018,5.17
1/16/2018,5.25
1/17/2018,5.09
1/18/2018,5.05
1/19/2018,5.15
1/22/2018,5.13
1/23/2018,5.35
1/24/2018,5.55
1/25/2018,5.29
1/26/2018,5.37
1/29/2018,5.11
1/30/2018,5.08
1/31/2018,5.25
2/01/2018,5.15
2/02/2018,4.9
2/05/2018,4.97
2/06/2018,4.8
2/07/2018,4.76
2/08/2018,4.82
2/09/2018,4.58
2/12/2018,4.84
2/13/2018,4.81
2/14/2018,5.1
2/15/2018,5.14
2/16/2018,4.83
2/20/2018,4.57
2/21/2018,4.64
2/22/2018,4.63
2/23/2018,4.66
2/26/2018,4.81
2/27/2018,4.65
2/28/2018,4.6
3/01/2018,4.67
3/02/2018,4.68
3/05/2018,4.71
3/06/2018,4.82
3/07/2018,4.61
3/08/2018,4.61
3/09/2018,4.62
3/12/2018,4.55
3/13/2018,4.52
3/14/2018,4.52
3/15/2018,4.46
3/16/2018,4.46
3/19/2018,4.46
3/20/2018,4.62
3/21/2018,4.72
3/22/2018,4.66
3/23/2018,4.82
3/26/2018,4.91
3/27/2018,4.84
3/28/2018,4.72
3/29/2018,4.76
4/02/2018,4.92
4/03/2018,4.79
4/04/2018,4.74
4/05/2018,4.69
4/06/2018,4.71
4/09/2018,4.76
4/10/2018,4.77
4/11/2018,4.81
4/12/2018,4.71
4/13/2018,4.77
4/16/2018,4.72
